epoch:25, train_loss:0.0455, val_loss:0.0489, train_F1:0.9594, val_F1:0.9564, train_prec:0.9555, val_prec:0.9516, train_recall:0.9633, val_recall:0.9613, train_auc:0.9489, val_auc:0.9377, train_pr:0.9923, val_pr:0.9902
epoch:26, train_loss:0.0450, val_loss:0.0519, train_F1:0.9596, val_F1:0.9474, train_prec:0.9562, val_prec:0.9649, train_recall:0.9631, val_recall:0.9305, train_auc:0.9495, val_auc:0.9385, train_pr:0.9923, val_pr:0.9905
epoch:27, train_loss:0.0444, val_loss:0.0498, train_F1:0.9599, val_F1:0.9522, train_prec:0.9564, val_prec:0.9604, train_recall:0.9633, val_recall:0.9441, train_auc:0.9506, val_auc:0.9380, train_pr:0.9925, val_pr:0.9902
epoch:28, train_loss:0.0445, val_loss:0.0524, train_F1:0.9602, val_F1:0.9580, train_prec:0.9568, val_prec:0.9405, train_recall:0.9637, val_recall:0.9762, train_auc:0.9508, val_auc:0.9376, train_pr:0.9925, val_pr:0.9899
epoch:29, train_loss:0.0447, val_loss:0.0511, train_F1:0.9600, val_F1:0.9559, train_prec:0.9566, val_prec:0.9474, train_recall:0.9634, val_recall:0.9646, train_auc:0.9511, val_auc:0.9366, train_pr:0.9926, val_pr:0.9898
epoch:30, train_loss:0.0443, val_loss:0.0484, train_F1:0.9603, val_F1:0.9558, train_prec:0.9577, val_prec:0.9544, train_recall:0.9630, val_recall:0.9572, train_auc:0.9517, val_auc:0.9384, train_pr:0.9927, val_pr:0.9903
epoch:31, train_loss:0.0438, val_loss:0.0487, train_F1:0.9609, val_F1:0.9555, train_prec:0.9575, val_prec:0.9568, train_recall:0.9644, val_recall:0.9542, train_auc:0.9527, val_auc:0.9389, train_pr:0.9928, val_pr:0.9903
epoch:32, train_loss:0.0433, val_loss:0.0504, train_F1:0.9607, val_F1:0.9524, train_prec:0.9578, val_prec:0.9612, train_recall:0.9637, val_recall:0.9436, train_auc:0.9531, val_auc:0.9393, train_pr:0.9929, val_pr:0.9904
epoch:33, train_loss:0.0431, val_loss:0.0496, train_F1:0.9609, val_F1:0.9578, train_prec:0.9578, val_prec:0.9501, train_recall:0.9640, val_recall:0.9656, train_auc:0.9536, val_auc:0.9389, train_pr:0.9931, val_pr:0.9902
epoch:34, train_loss:0.0434, val_loss:0.0506, train_F1:0.9611, val_F1:0.9580, train_prec:0.9588, val_prec:0.9468, train_recall:0.9635, val_recall:0.9695, train_auc:0.9539, val_auc:0.9382, train_pr:0.9930, val_pr:0.9898
epoch:35, train_loss:0.0430, val_loss:0.0505, train_F1:0.9606, val_F1:0.9575, train_prec:0.9587, val_prec:0.9467, train_recall:0.9624, val_recall:0.9686, train_auc:0.9548, val_auc:0.9379, train_pr:0.9932, val_pr:0.9898
epoch:36, train_loss:0.0424, val_loss:0.0533, train_F1:0.9615, val_F1:0.9424, train_prec:0.9590, val_prec:0.9687, train_recall:0.9640, val_recall:0.9175, train_auc:0.9553, val_auc:0.9396, train_pr:0.9932, val_pr:0.9906
epoch:37, train_loss:0.0422, val_loss:0.0490, train_F1:0.9618, val_F1:0.9559, train_prec:0.9593, val_prec:0.9548, train_recall:0.9643, val_recall:0.9570, train_auc:0.9563, val_auc:0.9388, train_pr:0.9934, val_pr:0.9902
epoch:38, train_loss:0.0425, val_loss:0.0482, train_F1:0.9615, val_F1:0.9576, train_prec:0.9597, val_prec:0.9529, train_recall:0.9633, val_recall:0.9625, train_auc:0.9557, val_auc:0.9398, train_pr:0.9934, val_pr:0.9904
epoch:39, train_loss:0.0420, val_loss:0.0499, train_F1:0.9613, val_F1:0.9577, train_prec:0.9592, val_prec:0.9471, train_recall:0.9634, val_recall:0.9686, train_auc:0.9564, val_auc:0.9382, train_pr:0.9934, val_pr:0.9896
epoch:40, train_loss:0.0417, val_loss:0.0522, train_F1:0.9622, val_F1:0.9583, train_prec:0.9604, val_prec:0.9419, train_recall:0.9640, val_recall:0.9753, train_auc:0.9573, val_auc:0.9379, train_pr:0.9936, val_pr:0.9894
epoch:41, train_loss:0.0417, val_loss:0.0492, train_F1:0.9618, val_F1:0.9534, train_prec:0.9595, val_prec:0.9613, train_recall:0.9641, val_recall:0.9456, train_auc:0.9578, val_auc:0.9405, train_pr:0.9937, val_pr:0.9906
epoch:42, train_loss:0.0413, val_loss:0.0511, train_F1:0.9627, val_F1:0.9456, train_prec:0.9608, val_prec:0.9672, train_recall:0.9647, val_recall:0.9249, train_auc:0.9583, val_auc:0.9403, train_pr:0.9937, val_pr:0.9906
epoch:43, train_loss:0.0410, val_loss:0.0482, train_F1:0.9625, val_F1:0.9575, train_prec:0.9605, val_prec:0.9537, train_recall:0.9644, val_recall:0.9613, train_auc:0.9587, val_auc:0.9403, train_pr:0.9938, val_pr:0.9904
epoch:44, train_loss:0.0409, val_loss:0.0477, train_F1:0.9629, val_F1:0.9572, train_prec:0.9610, val_prec:0.9547, train_recall:0.9647, val_recall:0.9597, train_auc:0.9593, val_auc:0.9404, train_pr:0.9939, val_pr:0.9905
epoch:45, train_loss:0.0406, val_loss:0.0517, train_F1:0.9630, val_F1:0.9585, train_prec:0.9615, val_prec:0.9433, train_recall:0.9645, val_recall:0.9743, train_auc:0.9595, val_auc:0.9380, train_pr:0.9940, val_pr:0.9893
epoch:46, train_loss:0.0406, val_loss:0.0509, train_F1:0.9630, val_F1:0.9580, train_prec:0.9614, val_prec:0.9487, train_recall:0.9645, val_recall:0.9675, train_auc:0.9599, val_auc:0.9386, train_pr:0.9940, val_pr:0.9896
epoch:47, train_loss:0.0404, val_loss:0.0493, train_F1:0.9632, val_F1:0.9542, train_prec:0.9618, val_prec:0.9596, train_recall:0.9646, val_recall:0.9490, train_auc:0.9600, val_auc:0.9398, train_pr:0.9941, val_pr:0.9904
epoch:48, train_loss:0.0401, val_loss:0.0491, train_F1:0.9635, val_F1:0.9585, train_prec:0.9619, val_prec:0.9512, train_recall:0.9652, val_recall:0.9660, train_auc:0.9608, val_auc:0.9395, train_pr:0.9942, val_pr:0.9899
epoch:49, train_loss:0.0397, val_loss:0.0491, train_F1:0.9639, val_F1:0.9522, train_prec:0.9625, val_prec:0.9619, train_recall:0.9654, val_recall:0.9427, train_auc:0.9611, val_auc:0.9407, train_pr:0.9942, val_pr:0.9906
