epoch:0, train_loss:0.0765, val_loss:0.0708, train_F1:0.9341, val_F1:0.9381, train_prec:0.8953, val_prec:0.9042, train_recall:0.9764, val_recall:0.9746, train_auc:0.7771, val_auc:0.8188, train_pr:0.9596, val_pr:0.9681
epoch:1, train_loss:0.0691, val_loss:0.0690, train_F1:0.9394, val_F1:0.9389, train_prec:0.9047, val_prec:0.9089, train_recall:0.9769, val_recall:0.9710, train_auc:0.8312, val_auc:0.8350, train_pr:0.9704, val_pr:0.9715
epoch:2, train_loss:0.0672, val_loss:0.0681, train_F1:0.9404, val_F1:0.9393, train_prec:0.9068, val_prec:0.9088, train_recall:0.9766, val_recall:0.9720, train_auc:0.8419, val_auc:0.8425, train_pr:0.9727, val_pr:0.9730
epoch:3, train_loss:0.0661, val_loss:0.0668, train_F1:0.9410, val_F1:0.9402, train_prec:0.9079, val_prec:0.9088, train_recall:0.9767, val_recall:0.9739, train_auc:0.8485, val_auc:0.8475, train_pr:0.9740, val_pr:0.9741
epoch:4, train_loss:0.0653, val_loss:0.0660, train_F1:0.9417, val_F1:0.9410, train_prec:0.9090, val_prec:0.9096, train_recall:0.9767, val_recall:0.9746, train_auc:0.8534, val_auc:0.8514, train_pr:0.9749, val_pr:0.9748
epoch:5, train_loss:0.0646, val_loss:0.0652, train_F1:0.9423, val_F1:0.9408, train_prec:0.9102, val_prec:0.9108, train_recall:0.9767, val_recall:0.9730, train_auc:0.8571, val_auc:0.8545, train_pr:0.9757, val_pr:0.9754
epoch:6, train_loss:0.0642, val_loss:0.0653, train_F1:0.9426, val_F1:0.9415, train_prec:0.9108, val_prec:0.9116, train_recall:0.9766, val_recall:0.9734, train_auc:0.8603, val_auc:0.8568, train_pr:0.9763, val_pr:0.9758
epoch:7, train_loss:0.0637, val_loss:0.0649, train_F1:0.9431, val_F1:0.9416, train_prec:0.9115, val_prec:0.9131, train_recall:0.9771, val_recall:0.9719, train_auc:0.8629, val_auc:0.8590, train_pr:0.9768, val_pr:0.9763
epoch:8, train_loss:0.0631, val_loss:0.0648, train_F1:0.9433, val_F1:0.9420, train_prec:0.9122, val_prec:0.9122, train_recall:0.9765, val_recall:0.9738, train_auc:0.8652, val_auc:0.8602, train_pr:0.9773, val_pr:0.9765
epoch:9, train_loss:0.0627, val_loss:0.0643, train_F1:0.9437, val_F1:0.9419, train_prec:0.9126, val_prec:0.9137, train_recall:0.9770, val_recall:0.9720, train_auc:0.8673, val_auc:0.8620, train_pr:0.9777, val_pr:0.9769
epoch:10, train_loss:0.0624, val_loss:0.0643, train_F1:0.9438, val_F1:0.9425, train_prec:0.9132, val_prec:0.9118, train_recall:0.9766, val_recall:0.9753, train_auc:0.8691, val_auc:0.8624, train_pr:0.9780, val_pr:0.9769
